Type,Name,Definition
Class,sosa:Observation,"Act of carrying out an observation, linking Sensor, Property, FeatureOfInterest, and Result."
Class,sosa:Sensor,"Device, agent, or system that performs observations."
Class,sosa:FeatureOfInterest,Entity whose property is observed or acted upon.
Class,sosa:ObservableProperty,Property of a FeatureOfInterest that can be observed.
Class,sosa:Result,"Result of an Observation, Actuation, or Sampling."
Class,sosa:Procedure,"Method, algorithm, or workflow for an Observation, Actuation, or Sampling."
Class,sosa:Actuation,Act of applying a change to a FeatureOfInterest.
Class,sosa:Actuator,"Device, agent, or system that performs Actuation."
Class,sosa:Sample,Subset or extract of a FeatureOfInterest intended for observation or analysis.
Class,sosa:Sampler,"Device, agent, or process that creates or selects Samples."
Property,sosa:hasFeatureOfInterest,Links Observation to the FeatureOfInterest.
Property,sosa:observedProperty,Links Observation to the ObservableProperty.
Property,sosa:madeBySensor,Links Observation to the Sensor that made it.
Property,sosa:hasResult,Links Observation to the Result.
Property,sosa:resultTime,Time when the Observation result was generated.
Property,sosa:phenomenonTime,Time when the observed phenomenon occurred.
Property,sosa:usedProcedure,"Procedure used in an Observation, Actuation, or Sampling."
Property,sosa:isResultOf,Inverse relation: Result → Observation/Actuation/Sampling.
Property,sosa:hasSample,Links a FeatureOfInterest to its Sample.
Property,sosa:isSampleOf,Links a Sample to its FeatureOfInterest.
